batch,group,scheduled_time,hook,views,reach,likes,shares,saved,permalink,error
,,2026-08-04T13:26:00,The biggest content creation mistake business owners st,123683,110301,246,0,10,https://www.instagram.com/reel/DbpmsxvjLUf/,
,,2026-08-04T10:16:00,The AI skill every business owner needs in 2026.,46377,41120,22,0,1,https://www.instagram.com/reel/DbpmRwWCv5R/,
,,2026-08-04T19:08:00,This AI workflow creates 30 Reels in 5 minutes.,5104,4684,8,0,0,https://www.instagram.com/reel/DbpnbDNCQkd/,
,,2026-08-04T17:14:00,If I could learn only one AI tool this year…,1143,992,8,0,0,https://www.instagram.com/reel/DbpnJn5kppU/,
,,2026-08-04T21:02:00,Why 90% of business owners waste time creating content.,929,822,1,0,1,https://www.instagram.com/reel/Dbpnt_kD-e4/,
,,2026-08-05T09:23:32,The AI skill every business owner needs in 2026.,725,642,3,0,0,https://www.instagram.com/reel/DbpmC47kzoa/,
,,2026-08-04T19:46:00,This AI workflow creates 30 Reels in 5 minutes.,583,551,0,0,0,https://www.instagram.com/reel/DbpnfhVgRWV/,
,,2026-08-09T14:00:00,One AI agent saved me 20 hours a week,557,455,7,0,0,https://www.instagram.com/reel/Db0bDxTGQey/,
,,2026-08-04T17:52:00,If I could learn only one AI tool this year…,529,497,0,0,0,https://www.instagram.com/reel/DbpnOFEjhXX/,
,,2026-08-09T09:50:00,The marketing job AI will replace first.,514,432,1,0,0,https://www.instagram.com/reel/Db0AFxMidkX/,
,,2026-08-04T09:38:00,The AI skill every business owner needs in 2026.,486,412,4,0,0,https://www.instagram.com/reel/DbpmGEODYEv/,
,,2026-08-08T18:40:00,The content strategy that's replacing social media mana,443,379,3,0,0,https://www.instagram.com/reel/DbyV-0MD8PA/,
,,2026-08-04T14:42:00,5 AI automations that replace a marketing team.,437,389,0,0,0,https://www.instagram.com/reel/Dbpm1SxjqcN/,
,,2026-08-04T18:30:00,This AI workflow creates 30 Reels in 5 minutes.,422,374,3,0,0,https://www.instagram.com/reel/DbpnV7bgI2B/,
,,2026-08-04T15:20:00,5 AI automations that replace a marketing team.,344,309,2,0,0,https://www.instagram.com/reel/Dbpm4gRgWS3/,
,,2026-08-08T19:30:00,The content strategy that's replacing social media mana,344,307,1,0,0,https://www.instagram.com/reel/DbyZ3RsihXg/,
,,2026-08-04T16:36:00,If I could learn only one AI tool this year…,340,318,1,1,0,https://www.instagram.com/reel/DbpnDadD_gl/,
,,2026-08-09T09:00:00,The marketing job AI will replace first.,335,295,1,0,0,https://www.instagram.com/reel/Dbz7AUhCnfp/,
,,2026-08-04T20:24:00,Why 90% of business owners waste time creating content.,312,276,3,0,0,https://www.instagram.com/reel/DbpnpI1j1MW/,
,,2026-08-08T17:00:00,Why 90% of business owners waste time creating content.,312,287,1,0,0,https://www.instagram.com/reel/DbyJ-Q9Eakd/,
,,2026-08-09T10:40:00,The marketing job AI will replace first.,307,267,0,0,0,https://www.instagram.com/reel/Db0FnoNDY8R/,
,,2026-08-04T15:58:00,5 AI automations that replace a marketing team.,275,243,0,0,0,https://www.instagram.com/reel/Dbpm_ZYDUAc/,
,,2026-08-04T14:04:00,The biggest content creation mistake business owners st,271,240,0,0,0,https://www.instagram.com/reel/DbpmxWfDGcA/,
,,2026-08-08T17:50:00,The content strategy that's replacing social media mana,266,237,0,0,0,https://www.instagram.com/reel/DbyREgtgK1M/,
,,2026-08-04T12:48:00,The biggest content creation mistake business owners st,250,242,1,0,0,https://www.instagram.com/reel/DbpmoW1glOT/,
,,2026-08-09T12:20:00,"By 2027, businesses without AI content systems will str",134,112,0,0,0,https://www.instagram.com/reel/Db0QOh-jP1d/,
